date,hour,count,weekday,month
2025-03-01,0,12622,5,2025-03
2025-03-01,1,8264,5,2025-03
2025-03-01,2,5400,5,2025-03
2025-03-01,3,3706,5,2025-03
2025-03-01,4,2066,5,2025-03
2025-03-01,5,1975,5,2025-03
2025-03-01,6,4567,5,2025-03
2025-03-01,7,9255,5,2025-03
2025-03-01,8,16187,5,2025-03
2025-03-01,9,28314,5,2025-03
2025-03-01,10,44261,5,2025-03
2025-03-01,11,52328,5,2025-03
2025-03-01,12,56287,5,2025-03
2025-03-01,13,68249,5,2025-03
2025-03-01,14,69854,5,2025-03
2025-03-01,15,74701,5,2025-03
2025-03-01,16,71304,5,2025-03
2025-03-01,17,73802,5,2025-03
2025-03-01,18,73775,5,2025-03
2025-03-01,19,67476,5,2025-03
2025-03-01,20,51157,5,2025-03
2025-03-01,21,44353,5,2025-03
2025-03-01,22,39495,5,2025-03
2025-03-01,23,49846,5,2025-03
2025-03-02,0,17541,6,2025-03
2025-03-02,1,11978,6,2025-03
2025-03-02,2,6943,6,2025-03
2025-03-02,3,5735,6,2025-03
2025-03-02,4,3399,6,2025-03
2025-03-02,5,3041,6,2025-03
2025-03-02,6,3741,6,2025-03
2025-03-02,7,7027,6,2025-03
2025-03-02,8,13967,6,2025-03
2025-03-02,9,26593,6,2025-03
2025-03-02,10,35410,6,2025-03
2025-03-02,11,41707,6,2025-03
2025-03-02,12,53331,6,2025-03
2025-03-02,13,58526,6,2025-03
2025-03-02,14,57751,6,2025-03
2025-03-02,15,55766,6,2025-03
2025-03-02,16,50887,6,2025-03
2025-03-02,17,54383,6,2025-03
2025-03-02,18,44291,6,2025-03
2025-03-02,19,37690,6,2025-03
2025-03-02,20,31700,6,2025-03
2025-03-02,21,24271,6,2025-03
2025-03-02,22,15546,6,2025-03
2025-03-02,23,9597,6,2025-03
2025-03-03,0,3846,0,2025-03
2025-03-03,1,1837,0,2025-03
2025-03-03,2,1123,0,2025-03
2025-03-03,3,914,0,2025-03
2025-03-03,4,996,0,2025-03
2025-03-03,5,2670,0,2025-03
2025-03-03,6,9055,0,2025-03
2025-03-03,7,23484,0,2025-03
2025-03-03,8,52248,0,2025-03
2025-03-03,9,48682,0,2025-03
2025-03-03,10,44035,0,2025-03
2025-03-03,11,50295,0,2025-03
2025-03-03,12,66549,0,2025-03
2025-03-03,13,67002,0,2025-03
2025-03-03,14,62669,0,2025-03
2025-03-03,15,57702,0,2025-03
2025-03-03,16,66614,0,2025-03
2025-03-03,17,73646,0,2025-03
