date,total_counts,hour,weekday,month
2025-03-01,929244,0,5,2025-03
2025-03-02,670821,0,6,2025-03
2025-03-03,798301,0,0,2025-03
2025-03-04,870983,0,1,2025-03
2025-03-05,852555,0,2,2025-03
2025-03-06,920384,0,3,2025-03
2025-03-07,944090,0,4,2025-03
2025-03-08,933858,0,5,2025-03
2025-03-09,899263,0,6,2025-03
2025-03-10,727441,0,0,2025-03
2025-03-11,813775,0,1,2025-03
2025-03-12,849365,0,2,2025-03
2025-03-13,1009573,0,3,2025-03
2025-03-14,980187,0,4,2025-03
2025-03-15,915402,0,5,2025-03
2025-03-16,513417,0,6,2025-03
2025-03-17,859396,0,0,2025-03
2025-03-18,885817,0,1,2025-03
2025-03-19,878192,0,2,2025-03
2025-03-20,800750,0,3,2025-03
2025-03-21,884091,0,4,2025-03
2025-03-22,929926,0,5,2025-03
2025-03-23,763547,0,6,2025-03
2025-03-24,769565,0,0,2025-03
2025-03-25,847602,0,1,2025-03
2025-03-26,879798,0,2,2025-03
2025-03-27,957611,0,3,2025-03
2025-03-28,982398,0,4,2025-03
2025-03-29,941897,0,5,2025-03
2025-03-30,729510,0,6,2025-03
2025-03-31,770456,0,0,2025-03
2025-04-01,869344,0,1,2025-04
2025-04-02,884028,0,2,2025-04
2025-04-03,881521,0,3,2025-04
2025-04-04,891091,0,4,2025-04
2025-04-05,933817,0,5,2025-04
2025-04-06,816942,0,6,2025-04
2025-04-07,795012,0,0,2025-04
2025-04-08,884855,0,1,2025-04
2025-04-09,889260,0,2,2025-04
2025-04-10,932950,0,3,2025-04
2025-04-11,973756,0,4,2025-04
2025-04-12,906830,0,5,2025-04
2025-04-13,785614,0,6,2025-04
2025-04-14,814976,0,0,2025-04
2025-04-15,922881,0,1,2025-04
2025-04-16,952733,0,2,2025-04
2025-04-17,983525,0,3,2025-04
2025-04-18,780373,0,4,2025-04
2025-04-19,922212,0,5,2025-04
2025-04-20,781049,0,6,2025-04
2025-04-21,665574,0,0,2025-04
2025-04-22,721162,0,1,2025-04
2025-04-23,764965,0,2,2025-04
2025-04-24,837216,0,3,2025-04
2025-04-25,705779,0,4,2025-04
2025-04-26,781510,0,5,2025-04
2025-04-27,651895,0,6,2025-04
2025-04-28,697748,0,0,2025-04
2025-04-29,705792,0,1,2025-04
2025-04-30,802327,0,2,2025-04
2025-05-01,835816,0,3,2025-05
2025-05-02,833316,0,4,2025-05
2025-05-03,803258,0,5,2025-05
2025-05-04,649313,0,6,2025-05
2025-05-05,715957,0,0,2025-05
2025-05-06,798083,0,1,2025-05
2025-05-07,743315,0,2,2025-05
2025-05-08,821079,0,3,2025-05
2025-05-09,857304,0,4,2025-05
2025-05-10,873283,0,5,2025-05
2025-05-11,725068,0,6,2025-05
2025-05-12,694695,0,0,2025-05
2025-05-13,787431,0,1,2025-05
2025-05-14,768064,0,2,2025-05
2025-05-15,802579,0,3,2025-05
2025-05-16,808372,0,4,2025-05
2025-05-17,647904,0,5,2025-05
2025-05-18,676110,0,6,2025-05
2025-05-19,660391,0,0,2025-05
2025-05-20,759842,0,1,2025-05
2025-05-21,744701,0,2,2025-05
2025-05-22,770240,0,3,2025-05
2025-05-23,721298,0,4,2025-05
2025-05-24,857645,0,5,2025-05
2025-05-25,657938,0,6,2025-05
2025-05-26,623920,0,0,2025-05
2025-05-27,630145,0,1,2025-05
2025-05-28,644002,0,2,2025-05
2025-05-29,740705,0,3,2025-05
2025-05-30,812808,0,4,2025-05
2025-05-31,774050,0,5,2025-05
2025-06-01,599407,0,6,2025-06
2025-06-02,363948,0,0,2025-06
2025-06-03,573615,0,1,2025-06
2025-06-04,711476,0,2,2025-06
2025-06-05,746877,0,3,2025-06
