weekday,hour,avg_count
Monday,0,62.92620865139949
Monday,1,38.21409214092141
Monday,2,23.767567567567568
Monday,3,19.275862068965516
Monday,4,16.47382920110193
Monday,5,32.71990171990172
Monday,6,89.16976744186047
Monday,7,210.36222222222221
Monday,8,488.7721238938053
Monday,9,432.5560538116592
Monday,10,457.29801324503313
Monday,11,539.4523281596453
Monday,12,731.1224944320712
Monday,13,744.506726457399
Monday,14,660.011135857461
Monday,15,630.0514541387024
Monday,16,703.9035874439462
Monday,17,816.6943820224719
Monday,18,633.4140271493212
Monday,19,502.1078651685393
Monday,20,392.9313501144165
Monday,21,307.4462242562929
Monday,22,200.7447795823666
Monday,23,98.30023094688222
Tuesday,0,45.457413249211356
Tuesday,1,28.18027210884354
Tuesday,2,15.864285714285714
Tuesday,3,12.957295373665481
Tuesday,4,14.22635135135135
Tuesday,5,35.18068535825545
Tuesday,6,112.23361823361823
Tuesday,7,301.0109589041096
Tuesday,8,669.1525885558583
Tuesday,9,509.8116343490305
Tuesday,10,478.0602739726027
Tuesday,11,523.467032967033
Tuesday,12,809.4903581267217
Tuesday,13,778.2044198895028
Tuesday,14,616.4466292134831
Tuesday,15,643.0410958904109
Tuesday,16,767.1850828729282
Tuesday,17,907.5
Tuesday,18,694.3455056179776
Tuesday,19,513.2991689750693
Tuesday,20,399.2535211267606
Tuesday,21,312.75783475783476
Tuesday,22,224.6534090909091
Tuesday,23,101.13823529411765
Wednesday,0,49.89622641509434
Wednesday,1,29.367213114754097
Wednesday,2,17.45583038869258
Wednesday,3,14.388489208633093
Wednesday,4,12.274436090225564
Wednesday,5,34.99209486166008
Wednesday,6,110.85955056179775
Wednesday,7,298.1994459833795
Wednesday,8,659.1512605042017
Wednesday,9,486.53932584269666
Wednesday,10,451.04383561643834
Wednesday,11,527.9128065395096
Wednesday,12,796.7548209366391
Wednesday,13,747.6446280991736
Wednesday,14,626.7845303867404
Wednesday,15,654.3896457765668
Wednesday,16,747.1396648044692
Wednesday,17,935.0138121546961
Wednesday,18,751.3342465753425
Wednesday,19,529.4297520661157
Wednesday,20,425.6769662921348
Wednesday,21,341.3025936599424
Wednesday,22,247.3654390934844
Wednesday,23,124.05232558139535
Thursday,0,55.371517027863774
Thursday,1,31.358803986710964
Thursday,2,19.0
Thursday,3,14.725352112676056
Thursday,4,15.60553633217993
Thursday,5,35.793413173652695
Thursday,6,114.32865168539325
Thursday,7,297.8314917127072
Thursday,8,679.2611111111111
Thursday,9,521.0247252747253
Thursday,10,473.2105263157895
Thursday,11,547.7049180327868
Thursday,12,810.4903581267217
Thursday,13,804.9148351648352
Thursday,14,687.7845303867404
Thursday,15,651.5153203342618
Thursday,16,777.8774373259052
Thursday,17,953.1542699724517
Thursday,18,770.7967032967033
Thursday,19,610.33426183844
Thursday,20,465.35674157303373
Thursday,21,399.54829545454544
Thursday,22,326.7352112676056
Thursday,23,181.55428571428573
Friday,0,73.95924764890282
Friday,1,42.67741935483871
Friday,2,25.517857142857142
Friday,3,19.534545454545455
Friday,4,18.89547038327526
Friday,5,32.95092024539877
Friday,6,104.62039660056658
Friday,7,226.46518105849583
Friday,8,492.2382271468144
Friday,9,448.42622950819674
Friday,10,466.2219178082192
Friday,11,512.6488764044943
Friday,12,749.3425414364641
Friday,13,722.6396648044692
Friday,14,675.3370165745856
Friday,15,693.3416666666667
Friday,16,742.5227272727273
Friday,17,923.8472222222222
Friday,18,906.3983286908078
Friday,19,770.3174157303371
Friday,20,599.3651685393259
Friday,21,547.9887640449438
Friday,22,507.2774566473988
Friday,23,317.8567335243553
Saturday,0,165.6425120772947
Saturday,1,101.30827067669173
Saturday,2,67.51990049751244
Saturday,3,47.409921671018274
Saturday,4,27.7984496124031
Saturday,5,27.597014925373134
Saturday,6,50.250574712643676
Saturday,7,101.88392857142857
Saturday,8,197.08971553610505
Saturday,9,336.6533333333333
Saturday,10,467.2305986696231
Saturday,11,610.6813186813187
Saturday,12,677.9933333333333
Saturday,13,716.8847006651885
Saturday,14,717.1951219512196
Saturday,15,737.7004504504505
Saturday,16,789.4384787472036
Saturday,17,815.8879120879121
Saturday,18,834.3870246085011
Saturday,19,815.3541202672606
Saturday,20,616.6923076923077
Saturday,21,568.0183486238532
Saturday,22,532.1363636363636
Saturday,23,409.05466970387243
Sunday,0,208.20432692307693
Sunday,1,128.67632850241546
Sunday,2,86.08291457286433
Sunday,3,66.64450127877238
Sunday,4,39.60358056265984
Sunday,5,34.883374689826304
Sunday,6,42.536992840095465
Sunday,7,76.46067415730337
Sunday,8,153.6478260869565
Sunday,9,281.87391304347824
Sunday,10,398.70198675496687
Sunday,11,517.6902654867257
Sunday,12,583.2594235033259
Sunday,13,659.8053097345132
Sunday,14,645.2982062780269
Sunday,15,625.1148648648649
Sunday,16,594.8772321428571
Sunday,17,598.0772626931567
Sunday,18,599.1018099547512
Sunday,19,524.378132118451
Sunday,20,428.55405405405406
Sunday,21,363.8348623853211
Sunday,22,252.5968109339408
Sunday,23,141.20092378752886
