sensor_id,dow_name,hour,median_count,mean_count,samples
1,Friday,0,60.0,64.75,4
1,Friday,1,33.0,38.25,4
1,Friday,2,27.0,30.0,4
1,Friday,3,16.5,17.75,4
1,Friday,4,19.0,19.5,4
1,Friday,5,19.0,18.75,4
1,Friday,6,82.5,83.25,4
1,Friday,7,164.5,164.5,4
1,Friday,8,435.5,427.5,4
1,Friday,9,717.0,728.0,4
1,Friday,10,1223.0,1125.3333333333333,3
1,Friday,11,1651.0,1651.0,2
1,Friday,12,2414.0,2414.0,2
1,Friday,13,2704.0,2649.0,3
1,Friday,14,2502.0,2502.0,2
1,Friday,16,2552.5,2552.5,2
1,Friday,17,2814.0,2813.0,4
1,Friday,18,2442.0,2390.6666666666665,3
1,Friday,20,1367.0,1367.0,2
1,Friday,21,936.5,936.5,2
1,Friday,22,528.0,528.0,1
1,Friday,23,289.0,309.3333333333333,3
1,Monday,0,51.0,61.0,5
1,Monday,1,26.0,37.8,5
1,Monday,2,26.0,29.6,5
1,Monday,3,16.0,19.4,5
1,Monday,4,9.0,12.4,5
1,Monday,5,16.0,15.6,5
1,Monday,6,73.0,67.4,5
1,Monday,7,179.0,148.6,5
1,Monday,8,449.0,388.4,5
1,Monday,9,638.0,602.8,5
1,Monday,10,969.5,1013.5,4
1,Monday,11,1618.0,1590.6666666666667,3
1,Monday,12,2353.0,2449.8,5
1,Monday,13,2463.0,2463.0,1
1,Monday,15,2435.0,2290.3333333333335,3
1,Monday,16,2091.0,2044.0,3
1,Monday,17,2238.5,2238.5,2
1,Monday,18,1562.0,1562.0,1
1,Monday,19,952.0,950.0,3
1,Monday,20,537.0,537.0,2
1,Monday,21,373.5,373.5,2
1,Monday,22,183.0,183.0,1
1,Monday,23,96.5,96.5,2
1,Saturday,0,165.0,159.6,5
1,Saturday,1,85.0,85.2,5
1,Saturday,2,63.0,63.4,5
1,Saturday,3,45.0,47.6,5
1,Saturday,4,19.0,19.4,5
1,Saturday,5,16.0,17.2,5
1,Saturday,6,40.0,40.4,5
1,Saturday,7,63.0,68.0,5
1,Saturday,8,255.0,257.4,5
1,Saturday,9,624.0,658.4,5
1,Saturday,10,1366.5,1366.5,2
1,Saturday,11,1872.0,1872.0,1
1,Saturday,12,2732.0,2605.6666666666665,3
1,Saturday,13,3182.0,2988.0,3
1,Saturday,14,2996.0,2996.0,2
1,Saturday,15,3397.0,3397.0,1
1,Saturday,17,2966.5,2997.25,4
1,Saturday,18,2332.5,2332.5,2
1,Saturday,19,1858.5,1869.5,4
1,Saturday,21,710.5,706.5,4
1,Saturday,22,546.0,541.4,5
1,Saturday,23,382.0,382.0,3
1,Sunday,0,230.0,241.8,5
1,Sunday,1,128.0,141.0,5
1,Sunday,2,83.0,85.6,5
1,Sunday,3,65.0,69.0,5
1,Sunday,4,45.0,39.8,5
1,Sunday,5,30.0,32.0,5
1,Sunday,6,20.0,21.6,5
1,Sunday,7,55.0,52.2,5
1,Sunday,8,127.0,128.0,5
1,Sunday,9,509.0,520.4,5
1,Sunday,10,839.0,839.0,1
1,Sunday,11,1901.5,1744.0,4
1,Sunday,12,2399.0,2024.3333333333333,3
1,Sunday,13,2810.0,2571.5,4
1,Sunday,14,3022.0,3022.0,1
1,Sunday,16,2748.0,2354.3333333333335,3
1,Sunday,17,2144.0,2064.2,5
1,Sunday,18,1615.0,1615.0,1
1,Sunday,19,1116.5,1116.5,2
1,Sunday,20,624.5,616.25,4
1,Sunday,21,386.0,433.0,3
1,Sunday,22,194.5,194.5,2
1,Sunday,23,99.0,99.0,1
1,Thursday,0,59.5,55.25,4
1,Thursday,1,32.0,33.0,4
1,Thursday,2,22.0,23.0,4
1,Thursday,3,12.0,13.25,4
1,Thursday,4,10.0,10.25,4
1,Thursday,5,18.0,18.0,4
1,Thursday,6,89.0,87.5,4
1,Thursday,7,208.5,221.75,4
1,Thursday,8,522.0,522.5,4
1,Thursday,9,712.0,713.75,4
1,Thursday,10,909.0,909.0,2
1,Thursday,11,1599.5,1599.5,2
1,Thursday,12,2574.5,2574.5,2
1,Thursday,13,2581.5,2626.25,4
1,Thursday,14,2276.0,2240.0,3
1,Thursday,16,2321.0,2321.0,1
1,Thursday,17,2815.0,2503.0,3
1,Thursday,18,2247.0,2236.6666666666665,3
1,Thursday,19,1499.0,1419.0,3
1,Thursday,20,1165.0,1165.0,1
1,Thursday,21,588.0,588.0,2
1,Thursday,23,158.0,158.33333333333334,3
1,Tuesday,0,52.0,49.75,4
1,Tuesday,1,28.0,28.5,4
1,Tuesday,2,12.0,13.25,4
1,Tuesday,3,10.0,8.75,4
1,Tuesday,4,8.5,11.0,4
1,Tuesday,5,16.5,16.75,4
1,Tuesday,6,82.0,80.5,4
1,Tuesday,7,227.0,226.75,4
1,Tuesday,8,502.0,502.75,4
1,Tuesday,9,654.0,662.0,4
1,Tuesday,10,982.0,982.0,1
1,Tuesday,11,1498.5,1498.5,2
1,Tuesday,12,2555.5,2555.5,2
1,Tuesday,13,2570.0,2570.0,2
1,Tuesday,14,2112.0,2112.0,1
1,Tuesday,15,2054.5,2017.25,4
1,Tuesday,16,2091.0,2090.0,3
1,Tuesday,17,2118.0,2118.0,1
1,Tuesday,19,1136.5,1136.5,2
1,Tuesday,20,606.0,606.0,2
1,Tuesday,21,453.0,453.0,2
1,Tuesday,22,211.5,208.0,4
1,Tuesday,23,99.5,99.5,2
1,Wednesday,0,52.5,52.5,4
1,Wednesday,1,35.5,37.25,4
1,Wednesday,2,25.5,25.0,4
1,Wednesday,3,14.0,15.5,4
1,Wednesday,4,6.5,7.0,4
1,Wednesday,5,16.0,16.333333333333332,3
1,Wednesday,6,85.0,84.25,4
1,Wednesday,7,210.5,211.0,4
1,Wednesday,8,505.0,502.25,4
1,Wednesday,9,659.5,647.5,4
1,Wednesday,10,960.5,960.5,2
1,Wednesday,11,1458.5,1458.5,2
1,Wednesday,12,2633.0,2633.0,1
1,Wednesday,13,2643.5,2643.5,2
1,Wednesday,14,2097.0,2097.0,2
1,Wednesday,15,2092.0,2048.6666666666665,3
1,Wednesday,16,2056.0,2056.0,1
1,Wednesday,17,2363.0,2363.0,1
1,Wednesday,18,1780.5,1780.5,2
1,Wednesday,19,1093.5,1059.0,4
1,Wednesday,20,665.0,665.0,2
1,Wednesday,21,382.0,382.0,1
1,Wednesday,22,269.0,269.0,2
2,Friday,0,83.5,82.25,4
2,Friday,1,42.0,44.25,4
2,Friday,2,30.5,35.0,4
2,Friday,3,16.0,22.0,4
2,Friday,4,17.0,21.5,4
2,Friday,5,15.5,21.75,4
2,Friday,6,53.5,55.5,4
2,Friday,7,98.5,103.5,4
2,Friday,8,259.0,277.0,4
2,Friday,9,452.5,466.75,4
2,Friday,10,622.0,644.6666666666666,3
2,Friday,11,863.0,863.0,2
2,Friday,12,1393.5,1393.5,2
2,Friday,13,1307.0,1319.6666666666667,3
2,Friday,14,1299.0,1299.0,2
2,Friday,15,1168.5,1168.5,2
2,Friday,16,1174.0,1174.0,1
2,Friday,17,1286.0,1299.6666666666667,3
2,Friday,18,1027.5,1027.5,2
2,Friday,19,908.0,908.0,1
2,Friday,20,691.5,697.0,4
2,Friday,21,485.5,472.75,4
2,Friday,22,346.5,366.25,4
2,Friday,23,231.5,243.25,4
2,Monday,0,48.0,54.6,5
2,Monday,1,15.0,24.4,5
2,Monday,2,18.0,20.0,5
2,Monday,3,14.0,14.4,5
2,Monday,4,15.0,13.8,5
2,Monday,5,20.0,18.6,5
2,Monday,6,53.0,44.8,5
2,Monday,7,117.0,99.8,5
2,Monday,8,284.0,255.0,5
2,Monday,9,370.0,377.6,5
2,Monday,10,601.0,639.0,3
2,Monday,11,840.0,835.3333333333334,3
2,Monday,12,1406.0,1406.0,2
2,Monday,13,1737.0,1737.0,1
2,Monday,14,1351.0,1351.0,1
2,Monday,15,953.0,1033.3333333333333,3
2,Monday,16,1071.0,1077.3333333333333,3
2,Monday,17,1034.5,1034.5,2
2,Monday,18,722.0,722.0,1
2,Monday,19,397.0,397.0,2
2,Monday,20,270.0,268.8,5
2,Monday,21,198.0,204.4,5
2,Monday,22,129.0,136.2,5
2,Monday,23,61.0,69.2,5
2,Saturday,0,132.0,138.2,5
2,Saturday,1,96.0,97.0,5
2,Saturday,2,68.0,68.4,5
2,Saturday,3,44.0,45.0,5
2,Saturday,4,21.0,21.0,5
2,Saturday,5,16.0,18.2,5
2,Saturday,6,31.0,33.4,5
2,Saturday,7,44.0,51.8,5
2,Saturday,8,144.0,143.8,5
2,Saturday,9,411.0,409.2,5
2,Saturday,10,672.0,704.3333333333334,3
2,Saturday,11,1113.0,1128.3333333333333,3
2,Saturday,12,1373.0,1423.0,3
2,Saturday,13,1658.5,1658.5,2
2,Saturday,14,1822.0,1822.0,1
2,Saturday,15,1639.0,1639.0,2
2,Saturday,16,1752.0,1752.0,1
2,Saturday,17,1322.0,1370.6666666666667,3
2,Saturday,18,982.5,982.5,2
2,Saturday,19,777.0,776.0,3
2,Saturday,20,520.0,525.2,5
2,Saturday,21,431.0,420.0,5
2,Saturday,22,346.0,341.0,5
2,Saturday,23,271.0,293.8,5
2,Sunday,0,169.0,165.8,5
2,Sunday,1,131.0,118.8,5
2,Sunday,2,101.0,98.6,5
2,Sunday,3,73.0,79.2,5
2,Sunday,4,26.0,26.2,5
2,Sunday,5,19.0,20.2,5
