sensor_id,hour,avg_count,rank_in_sensor
1,13,2662.7368421052633,1.0
1,17,2501.45,2.0
1,14,2458.5454545454545,3.0
1,12,2436.6666666666665,4.0
1,16,2226.6923076923076,5.0
2,13,1485.9333333333334,1.0
2,12,1427.8666666666666,2.0
2,14,1276.5384615384614,3.0
2,15,1181.0833333333333,4.0
2,17,1180.076923076923,5.0
3,17,2398.0,1.0
3,16,2260.769230769231,2.0
3,18,2223.4615384615386,3.0
3,13,2168.0714285714284,4.0
3,15,2143.15,5.0
4,13,3709.823529411765,1.0
4,14,3515.6111111111113,2.0
4,12,3507.6153846153848,3.0
4,17,3446.733333333333,4.0
4,16,3367.4166666666665,5.0
5,17,3034.4,1.0
5,16,2823.9444444444443,2.0
5,18,2403.6153846153848,3.0
5,15,2349.5789473684213,4.0
5,14,2265.8125,5.0
6,17,2891.133333333333,1.0
6,18,2308.6923076923076,2.0
6,8,2251.6774193548385,3.0
6,16,2169.3333333333335,4.0
6,15,1783.6923076923076,5.0
8,17,540.1666666666666,1.0
8,12,523.8666666666667,2.0
8,13,477.06666666666666,3.0
8,16,446.43333333333334,4.0
8,18,412.46666666666664,5.0
9,8,2091.8387096774195,1.0
9,17,1892.7096774193549,2.0
9,16,1678.7096774193549,3.0
9,9,1364.483870967742,4.0
9,12,955.7741935483871,5.0
10,12,253.7741935483871,1.0
10,17,225.5483870967742,2.0
10,16,207.19354838709677,3.0
10,13,196.41935483870967,4.0
10,18,171.0,5.0
11,19,368.741935483871,1.0
11,20,334.16129032258067,2.0
11,18,323.0967741935484,3.0
11,21,241.58064516129033,4.0
11,17,237.0,5.0
12,18,715.8275862068965,1.0
12,19,701.8620689655172,2.0
12,20,598.2413793103449,3.0
12,17,520.4137931034483,4.0
12,21,442.64516129032256,5.0
14,17,998.625,1.0
14,18,688.2142857142857,2.0
14,16,671.3571428571429,3.0
14,8,603.516129032258,4.0
14,15,541.1538461538462,5.0
17,12,928.741935483871,1.0
17,8,924.1290322580645,2.0
17,13,908.5806451612904,3.0
17,17,721.2903225806451,4.0
17,9,666.7741935483871,5.0
18,8,847.741935483871,1.0
18,17,701.7142857142857,2.0
18,9,530.2258064516129,3.0
18,16,483.9655172413793,4.0
18,12,400.60714285714283,5.0
19,19,1284.8387096774193,1.0
19,18,1246.1290322580646,2.0
19,20,1152.0,3.0
19,17,1114.0,4.0
19,13,1079.258064516129,5.0
20,19,855.8709677419355,1.0
20,18,814.741935483871,2.0
20,20,778.4193548387096,3.0
20,21,655.0967741935484,4.0
20,17,605.258064516129,5.0
21,18,867.9354838709677,1.0
21,13,800.3870967741935,2.0
21,17,788.1612903225806,3.0
21,12,774.9677419354839,4.0
21,19,765.1612903225806,5.0
23,8,870.741935483871,1.0
23,17,814.9354838709677,2.0
