sensor_id,dow_name,hour,median_count,mean_count,samples,rank,weekday
180,Monday,8,144.0,138.33333333333334,3,3,0
68,Monday,12,1126.0,989.4,5,2,0
71,Monday,12,69.0,60.2,5,1,0
86,Monday,12,152.0,134.8,5,3,0
87,Monday,12,349.0,314.6,5,3,0
2,Monday,13,1737.0,1737.0,1,3,0
42,Monday,13,1287.0,1323.75,4,3,0
124,Monday,13,20.5,23.0,4,3,0
44,Monday,17,336.0,308.4,5,3,0
133,Monday,17,1547.0,1465.6,5,2,0
140,Monday,18,277.0,275.8,5,3,0
166,Monday,18,205.0,183.2,5,1,0
6,Tuesday,8,3783.0,3765.5,4,3,1
9,Tuesday,8,3701.0,3714.75,4,2,1
17,Tuesday,8,1601.0,1589.25,4,1,1
18,Tuesday,8,1549.0,1462.0,4,1,1
23,Tuesday,8,1429.5,1422.5,4,2,1
108,Tuesday,8,2929.5,2934.0,4,2,1
109,Tuesday,8,793.5,805.0,4,1,1
139,Tuesday,8,583.5,593.25,4,1,1
180,Tuesday,8,170.0,170.0,2,1,1
8,Tuesday,12,685.0,666.3333333333334,3,1,1
10,Tuesday,12,385.5,387.25,4,1,1
17,Tuesday,12,1513.5,1496.0,4,3,1
36,Tuesday,12,780.5,766.5,4,1,1
39,Tuesday,12,475.5,488.25,4,2,1
40,Tuesday,12,906.5,895.5,4,2,1
53,Tuesday,12,1755.5,1783.5,4,1,1
59,Tuesday,12,3407.0,3458.5,4,3,1
63,Tuesday,12,1186.5,1142.75,4,1,1
67,Tuesday,12,1393.0,1401.25,4,3,1
68,Tuesday,12,1113.0,1114.0,4,3,1
69,Tuesday,12,707.0,696.0,4,3,1
86,Tuesday,12,176.5,175.75,4,1,1
87,Tuesday,12,374.5,380.25,4,2,1
124,Tuesday,12,26.5,24.5,4,2,1
130,Tuesday,12,206.0,202.5,4,1,1
138,Tuesday,12,35.0,30.0,4,3,1
53,Tuesday,13,1750.5,1709.25,4,2,1
75,Tuesday,13,210.0,206.75,4,1,1
107,Tuesday,13,553.5,531.75,4,1,1
123,Tuesday,13,162.0,147.25,4,3,1
131,Tuesday,13,385.5,410.5,4,3,1
137,Tuesday,16,259.5,265.5,4,1,1
9,Tuesday,17,3624.5,3560.25,4,3,1
14,Tuesday,17,1302.5,1302.5,2,2,1
24,Tuesday,17,3307.5,3263.0,4,1,1
41,Tuesday,17,4307.0,4289.0,4,3,1
43,Tuesday,17,1007.5,922.75,4,1,1
44,Tuesday,17,403.5,402.25,4,1,1
54,Tuesday,17,715.0,647.75,4,3,1
58,Tuesday,17,2249.5,2250.75,4,1,1
61,Tuesday,17,2545.5,2553.5,4,3,1
66,Tuesday,17,3583.0,3554.0,4,3,1
72,Tuesday,17,1279.5,1269.25,4,3,1
78,Tuesday,17,320.0,319.0,4,1,1
84,Tuesday,17,3385.0,3394.5,4,1,1
118,Tuesday,17,100.5,101.25,4,3,1
133,Tuesday,17,1569.5,1572.25,4,1,1
164,Tuesday,17,327.0,314.5,4,1,1
140,Tuesday,18,280.0,286.5,4,1,1
167,Tuesday,18,236.0,234.0,4,1,1
18,Wednesday,8,1471.5,1365.5,4,3,2
23,Wednesday,8,1388.0,1372.75,4,3,2
76,Wednesday,8,149.5,143.5,4,3,2
108,Wednesday,8,2935.0,2878.25,4,1,2
109,Wednesday,8,781.0,767.5,4,2,2
139,Wednesday,8,539.5,539.0,4,3,2
140,Wednesday,8,279.0,206.33333333333337,3,2,2
10,Wednesday,12,370.0,381.5,4,3,2
36,Wednesday,12,761.5,754.5,4,2,2
39,Wednesday,12,473.5,482.25,4,3,2
40,Wednesday,12,908.5,973.5,4,1,2
46,Wednesday,12,460.5,453.25,4,2,2
59,Wednesday,12,3820.5,3710.75,4,1,2
67,Wednesday,12,1423.5,1456.75,4,2,2
69,Wednesday,12,718.0,740.75,4,2,2
71,Wednesday,12,67.0,60.75,4,2,2
130,Wednesday,12,192.5,196.5,4,3,2
42,Wednesday,13,1474.0,1474.0,1,2,2
46,Wednesday,13,472.0,468.0,4,1,2
53,Wednesday,13,1716.0,1723.25,4,3,2
138,Wednesday,13,37.0,38.25,4,2,2
59,Wednesday,14,3460.0,3490.25,4,2,2
43,Wednesday,16,896.0,877.75,4,3,2
