date,total_counts,month,hour,sensor_id,weekday
2025-03-01,929244,2025-03,0,0,Saturday
2025-03-02,670821,2025-03,0,0,Sunday
2025-03-03,798301,2025-03,0,0,Monday
2025-03-04,870983,2025-03,0,0,Tuesday
2025-03-05,852555,2025-03,0,0,Wednesday
2025-03-06,920384,2025-03,0,0,Thursday
2025-03-07,944090,2025-03,0,0,Friday
2025-03-08,933858,2025-03,0,0,Saturday
2025-03-09,899263,2025-03,0,0,Sunday
2025-03-10,727441,2025-03,0,0,Monday
2025-03-11,813775,2025-03,0,0,Tuesday
2025-03-12,849365,2025-03,0,0,Wednesday
2025-03-13,1009573,2025-03,0,0,Thursday
2025-03-14,980187,2025-03,0,0,Friday
2025-03-15,915402,2025-03,0,0,Saturday
2025-03-16,513417,2025-03,0,0,Sunday
2025-03-17,859396,2025-03,0,0,Monday
2025-03-18,885817,2025-03,0,0,Tuesday
2025-03-19,878192,2025-03,0,0,Wednesday
2025-03-20,800750,2025-03,0,0,Thursday
2025-03-21,884091,2025-03,0,0,Friday
2025-03-22,929926,2025-03,0,0,Saturday
2025-03-23,763547,2025-03,0,0,Sunday
2025-03-24,769565,2025-03,0,0,Monday
2025-03-25,847602,2025-03,0,0,Tuesday
2025-03-26,879798,2025-03,0,0,Wednesday
2025-03-27,957611,2025-03,0,0,Thursday
2025-03-28,982398,2025-03,0,0,Friday
2025-03-29,941897,2025-03,0,0,Saturday
2025-03-30,729510,2025-03,0,0,Sunday
2025-03-31,770456,2025-03,0,0,Monday
2025-06-01,599407,2025-06,0,0,Sunday
2025-06-02,363948,2025-06,0,0,Monday
2025-06-03,573615,2025-06,0,0,Tuesday
2025-06-04,711476,2025-06,0,0,Wednesday
2025-06-05,746893,2025-06,0,0,Thursday
2025-06-06,658723,2025-06,0,0,Friday
2025-06-07,75346,2025-06,0,0,Saturday
2025-06-08,677238,2025-06,0,0,Sunday
2025-06-09,508406,2025-06,0,0,Monday
2025-06-10,648305,2025-06,0,0,Tuesday
2025-06-11,703321,2025-06,0,0,Wednesday
2025-06-12,744644,2025-06,0,0,Thursday
2025-06-13,756238,2025-06,0,0,Friday
2025-06-14,690918,2025-06,0,0,Saturday
2025-06-15,36350,2025-06,0,0,Sunday
2025-06-16,584675,2025-06,0,0,Monday
2025-06-17,653762,2025-06,0,0,Tuesday
2025-06-18,718260,2025-06,0,0,Wednesday
2025-06-19,702228,2025-06,0,0,Thursday
2025-06-20,85349,2025-06,0,0,Friday
2025-06-21,762770,2025-06,0,0,Saturday
2025-06-22,615314,2025-06,0,0,Sunday
2025-06-23,601725,2025-06,0,0,Monday
2025-06-24,642532,2025-06,0,0,Tuesday
2025-06-25,561324,2025-06,0,0,Wednesday
2025-06-26,751372,2025-06,0,0,Thursday
2025-06-27,762503,2025-06,0,0,Friday
2025-06-28,787220,2025-06,0,0,Saturday
2025-06-29,564439,2025-06,0,0,Sunday
2025-06-30,31697,2025-06,0,0,Monday
2025-07-01,650493,2025-07,0,0,Tuesday
2025-07-02,449402,2025-07,0,0,Wednesday
2025-07-03,57474,2025-07,0,0,Thursday
2025-07-04,837298,2025-07,0,0,Friday
2025-07-05,913221,2025-07,0,0,Saturday
2025-07-06,756533,2025-07,0,0,Sunday
2025-07-07,758462,2025-07,0,0,Monday
2025-07-08,707486,2025-07,0,0,Tuesday
2025-07-09,841831,2025-07,0,0,Wednesday
2025-07-10,812516,2025-07,0,0,Thursday
2025-07-11,883727,2025-07,0,0,Friday
2025-07-12,952723,2025-07,0,0,Saturday
2025-07-13,782478,2025-07,0,0,Sunday
2025-07-14,752009,2025-07,0,0,Monday
2025-07-15,821323,2025-07,0,0,Tuesday
2025-07-16,844777,2025-07,0,0,Wednesday
2025-07-17,820245,2025-07,0,0,Thursday
2025-07-18,891469,2025-07,0,0,Friday
2025-07-19,673319,2025-07,0,0,Saturday
2025-07-20,701215,2025-07,0,0,Sunday
2025-07-21,717768,2025-07,0,0,Monday
2025-07-22,664272,2025-07,0,0,Tuesday
2025-07-23,788380,2025-07,0,0,Wednesday
2025-07-24,918847,2025-07,0,0,Thursday
2025-07-25,889102,2025-07,0,0,Friday
2025-07-26,848175,2025-07,0,0,Saturday
2025-07-27,656675,2025-07,0,0,Sunday
2025-07-28,716051,2025-07,0,0,Monday
2025-07-29,800019,2025-07,0,0,Tuesday
2025-07-30,834302,2025-07,0,0,Wednesday
2025-07-31,849165,2025-07,0,0,Thursday
